Zip Code,Lat,Long
93010,34.227846,-119.079903
93012,34.205504,-118.993111
93013,34.441398,-119.513163
93015,34.408161,-118.865111
93021,34.312945,-118.858169
93022,34.404544,-119.302118
93023,34.581308,-118.931948
93030,34.223244,-119.18012
93033,34.156629,-119.117218
93035,34.18454,-119.224666
93036,34.2351,-119.182
93040,34.432843,-118.730106
93041,34.110124,-119.100972
93042,34.1134,-119.1124
93043,34.1621,-119.2074
93060,34.402343,-119.094824
93063,34.296813,-118.685703
93065,34.269449,-118.768471
93066,34.297628,-119.014627
93067,34.420998,-119.60137
93101,34.419203,-119.710008
93103,34.438581,-119.685368
93105,34.037342,-119.80079
93106,34.4329,-119.8371
93108,34.457541,-119.631072
93109,34.406256,-119.726936
93110,34.437945,-119.77191
93111,34.460197,-119.802602
93117,34.489983,-120.091246
93202,36.315979,-119.710852
93203,35.116307,-118.817644
93204,35.916943,-120.129921
93205,35.523991,-118.400432
93206,35.451402,-119.488413
93207,35.865795,-118.69759
93210,36.186867,-120.387793
93212,36.04533,-119.532424
93215,35.772244,-119.209689
93219,35.858054,-119.305858
93221,36.301689,-119.018233
93222,34.907911,-119.234281
93223,36.29878,-119.201028
93224,35.215731,-119.57013
93225,34.827662,-118.999073
93226,35.735694,-118.738483
93230,36.29223,-119.622676
93234,36.217864,-120.080117
93235,36.385818,-119.224243
93238,35.852892,-118.397782
93239,35.996923,-120.000951
93240,35.607875,-118.466318
93241,35.245035,-118.905553
93242,36.444232,-119.718285
93243,34.845861,-118.885163
93244,36.462671,-118.997291
93245,36.303666,-119.825657
93247,36.205465,-119.085807
93249,35.637715,-119.893068
93250,35.666886,-119.186717
93251,35.38381,-119.730885
93252,34.737031,-119.460557
93254,34.956577,-119.750142
93255,35.676978,-118.101378
93256,35.957019,-119.330928
93257,36.008958,-118.891593
93260,35.861928,-118.636698
93262,36.527243,-118.594938
93263,35.490705,-119.286833
93265,36.245926,-118.693138
93266,36.175255,-119.813805
93267,36.141319,-119.129075
93268,35.184837,-119.402525
93270,35.939068,-119.043666
93271,36.413433,-118.854708
93272,36.047414,-119.344304
93274,36.185471,-119.375243
93276,35.316263,-119.402559
93277,36.303793,-119.375646
93280,35.652242,-119.4464
93283,35.55647,-118.244914
93285,35.690535,-118.552784
93286,36.464635,-119.094348
93287,35.710244,-118.881679
93291,36.391777,-119.372842
93292,36.37559,-119.211689
93301,35.383937,-119.020428
93304,35.339796,-119.023552
93305,35.391733,-118.984109
93306,35.449881,-118.841442
93307,35.280113,-118.962329
93308,35.559617,-118.925185
93309,35.342891,-119.064803
93311,35.16207,-119.194488
93312,35.392599,-119.245341
93313,35.140938,-119.051348
93314,35.3863,-119.17
93401,35.233745,-120.626442
93402,35.279984,-120.824288
93405,35.236549,-120.727344
93407,35.2828,-120.6596
93420,35.176236,-120.483243
93422,35.453912,-120.69461
93426,35.842889,-121.004862
93427,34.631362,-120.238218
93428,35.591387,-121.032256
93429,34.866032,-120.536546
93430,35.511833,-120.918713
93432,35.480896,-120.469476
93433,35.120833,-120.61843
93434,34.936,-120.594655
93435,35.4919,-120.9763
93436,34.601055,-120.382917
93437,34.757477,-120.550507
93440,34.758699,-120.275839
93441,34.70434,-120.02609
93442,35.369553,-120.763864
93444,35.050345,-120.489599
93445,35.059695,-120.604741
93446,35.634222,-120.728341
93449,35.165668,-120.655842
93450,35.996008,-120.85305
93451,35.886767,-120.608661
93452,35.746484,-121.223355
93453,35.303926,-120.256567
93454,34.943523,-120.256729
93455,34.818227,-120.418784
93458,34.95934,-120.490081
93460,34.630356,-120.032564
93461,35.634488,-120.293534
93463,34.624399,-120.137875
93465,35.536115,-120.739231
93501,35.097323,-118.171288
93505,35.151491,-117.927597
93510,34.501452,-118.207862
93512,37.653947,-118.231443
93513,37.245505,-118.062943
93514,37.04584,-118.397236
93516,34.95703,-117.73045
93517,38.184583,-119.286558
93518,35.358953,-118.527064
93519,35.3089,-117.9684
93523,34.966777,-117.961179
93524,34.932,-117.9071
93526,36.869584,-118.189241
93527,36.041315,-118.188235
93528,35.363339,-117.637641
93529,37.730269,-119.055813
93531,35.214982,-118.59049
93532,34.659579,-118.584212
93534,34.727529,-118.153098
93535,34.712708,-117.889656
93536,34.741406,-118.38111
93541,37.890145,-119.184087
93543,34.505273,-117.955054
93544,34.500091,-117.765862
93545,36.590415,-118.073839
93546,37.550074,-118.837167
93550,34.536232,-118.082935
93551,34.613476,-118.256358
93552,34.557711,-118.029441
93553,34.445239,-117.894868
93554,35.405722,-117.773354
93555,35.603913,-117.67828
93560,34.903052,-118.411251
93561,35.073777,-118.652112
93562,35.74837,-117.384948
93563,34.39583,-117.734568
93591,34.598221,-117.79593
93601,37.375816,-119.739935
93602,36.991762,-119.242874
93603,36.64545,-118.924982
93604,37.458367,-119.345011
93608,36.488056,-120.407691
93609,36.5276,-119.865999
93610,37.100948,-120.270136
93611,36.917652,-119.593757
93612,36.814539,-119.711868
93614,37.212191,-119.749323
93615,36.497895,-119.285484
93616,36.657462,-119.595293
93618,36.523619,-119.386868
93619,36.8432,-119.6518
93620,37.045728,-120.630682
93621,36.789213,-119.140338
93622,36.785618,-120.625382
93623,37.483535,-119.679414
93625,36.625792,-119.672483
93626,37.027663,-119.69056
93627,36.520537,-120.118055
93628,36.807595,-118.901544
93630,36.727418,-120.123526
93631,36.478239,-119.52137
93633,36.7341,-118.9588
93635,36.995162,-120.955099
93636,36.9528,-119.8806
93637,36.902954,-120.194274
93638,37.004068,-119.930027
93640,36.687292,-120.437354
93641,36.696759,-119.024051
93643,37.244307,-119.470256
93644,37.648647,-119.231447
93645,37.140104,-119.657092
93646,36.633498,-119.298895
93647,36.600185,-119.175655
93648,36.622237,-119.521126
93650,36.841655,-119.797113
93651,37.007238,-119.505661
93652,36.594542,-119.905245
93653,37.252057,-119.95783
93654,36.636638,-119.421842
93656,36.452211,-119.94575
93657,36.819628,-119.440414
93660,36.600193,-120.153393
93662,36.545322,-119.642281
93664,37.223,-119.001021
93667,36.993666,-119.348267
93668,36.635661,-120.288644
93669,37.287758,-119.548156
93675,36.719141,-119.202677
93701,36.749403,-119.787574
93702,36.739385,-119.753649
